restaurant_name,dish_name,allergens,guidance_tier,cross_contact
886,Pickled Cucumber Salad,none flagged,No allergens flagged,unknown
886,Crispy Silken Tofu,none flagged,No allergens flagged,unknown
886,Hot and Sour Soup,none flagged,No allergens flagged,unknown
886,Three Cup Chicken,"gluten (likely, medium)",Could modify,unknown
886,Peashoots with Tofu Skin,none flagged,No allergens flagged,unknown
886,Tomato and Egg,none flagged,No allergens flagged,unknown
886,Sacha Black Pepper Beef,"gluten (likely, medium)",Could modify,unknown
886,Loofah Garlic Stir Fry,"gluten (likely, high)",Flagged,unknown
886,Fly's Head,"gluten (likely, medium)",Could modify,unknown
886,Lo Ba Beng,"peanut (declared); gluten (likely, medium)",Flagged,unknown
886,Beef Noodle Soup,gluten (declared),Flagged,unknown
886,Dry Beef Noodles,"gluten (likely, high)",Flagged,unknown
886,Lily Flemming Fried Rice,none flagged,No allergens flagged,unknown
886,Sesame Noodles (Hot or Cold),"peanut (declared); gluten (likely, high)",Flagged,unknown
886,Notorious TFC Sandwich,"gluten (likely, high)",Flagged,unknown
886,Scallion Pancake Beef Wrap,"gluten (likely, high)",Flagged,unknown
886,Koshihikari White Rice,none flagged,No allergens flagged,unknown
886,Honey Glazed Popcorn Chicken,"gluten (likely, high)",Flagged,unknown
886,Taiwanese Sausage,"gluten (likely, medium)",Could modify,unknown
886,Shaky Fries,none flagged,Unknown,unknown
886,886 Chili Sauce,none flagged,Unknown,unknown
886,886 Chili Caramel Popcorn,none flagged,Unknown,unknown
886,886 Shot Glass,none flagged,Unknown,unknown
886,"Beer (Taiwan Beer Can/Bottle, Flavored, Seasonal Draft)","gluten (likely, medium)",Could modify,unknown
886,"Wine (Seasonal Red, White, Orange)",none flagged,No allergens flagged,unknown
886,"Sake & Soju (Shirokabe Sake, Jinro Soju, Sake Bomb, Baijiu Kaiju)",none flagged,Unknown,unknown
886,"Cocktails (Pink Venom, Mojito)",none flagged,Unknown,unknown
886,"Highballs (Whisky Soda, Taiwan Tea, Whiskey Winter Melon)",none flagged,Unknown,unknown
886,"Shots (Whisky, Vodka, Tequila, Mezcal, Rum, Gin, Baijou)",none flagged,Unknown,unknown
886,"Bombs & Spritz (Flavored Oolong Tea Spritz, Mango/Passionfruit/Lychee Spritz)",none flagged,No allergens flagged,unknown
886,"Non-Alcoholic Beverages (Sarsaparilla, Guava Juice, Oolong/Winter Melon/Hot Tea)",none flagged,No allergens flagged,unknown
Alison,Mushroom Croquettes,"gluten (likely, high)",Flagged,unknown
Alison,Cheese Croquettes,"gluten (likely, high)",Flagged,unknown
Alison,Manchego & Arugula,tree nut (declared),Flagged,unknown
Alison,Five Onion Soup,"gluten (likely, high)",Flagged,unknown
Baohaus,Chairman Bao,"peanut (declared); gluten (likely, high)",Flagged,unknown
Baohaus,Birdhaus Bao,"peanut (declared); gluten (likely, high)",Flagged,unknown
Baohaus,Mumbo Bird Bao,"peanut (declared); gluten (likely, high)",Flagged,unknown
Baohaus,Mumbo Tofu Bao,"peanut (declared); gluten (likely, high)",Flagged,unknown
Baohaus,Prime Brisket Bao,"peanut (declared); gluten (likely, high)",Flagged,unknown
Baohaus,Gundagai Lamb Bao,"peanut (declared); gluten (likely, high)",Flagged,unknown
Baohaus,Crispy Duck Bao,"peanut (declared); gluten (likely, high)",Flagged,unknown
Baohaus,Linda's #1 Tuna Tataki,none flagged,Unknown,unknown
Baohaus,Pork Tyrone,none flagged,Unknown,unknown
Baohaus,Mumbo Fried Cauliflower,"gluten (likely, medium)",Could modify,unknown
Baohaus,Smoked & Pickled Slaw w/ 3 Peppers,none flagged,No allergens flagged,unknown
Baohaus,Schmaltzy Snow Pea Shoots,none flagged,No allergens flagged,unknown
Baohaus,Oyster Sauce Eggplant,"gluten (likely, medium)",Could modify,unknown
Baohaus,Heirloom Tomato & Eggs,none flagged,No allergens flagged,unknown
Baohaus,Iberico Pork & Soy Sauce Pickles,"gluten (likely, medium)",Could modify,unknown
Baohaus,"Spicy Preserved Radish, Baby Anchovy & Peanut Stir Fry",peanut (declared),Flagged,unknown
Baohaus,Thrice Cooked Iberico Pork,none flagged,Unknown,unknown
Baohaus,Prime Brisket w/ Sacha & 3 Peppers,"peanut (likely, low); gluten (likely, medium)",Could modify,unknown
Baohaus,Ma Po Tofu w/ Brunoise Iberico Pork,"gluten (likely, medium)",Could modify,unknown
Baohaus,Kosher Vegetarian Crispy Soy Bean Ma Po Tofu,"gluten (likely, medium)",Could modify,unknown
Baohaus,Kung Pao Chicken Thighs,"peanut (likely, high); gluten (likely, medium)",Flagged,unknown
Baohaus,Haus Fried Rice,"gluten (likely, medium)",Could modify,unknown
Baohaus,Ha Ha Grey Sole Fried Whole or Smoked & Shvitz'd,"gluten (likely, medium)",Could modify,unknown
Baohaus,Oil Poached Mumbo Halibut with Soy Bean Crisp,"gluten (likely, low)",Could modify,unknown
Baohaus,Szechuan Roasted Lamb Shoulder,none flagged,No allergens flagged,unknown
Baohaus,Hakka Style Iberico Pork Belly,none flagged,No allergens flagged,unknown
Baohaus,Roasted Duck Leg w/ Pickled Mustard Greens,none flagged,No allergens flagged,unknown
Baohaus,Fried Hake Bao,"peanut (declared); gluten (likely, high)",Flagged,unknown
Baohaus,Crispy Duck Bao,"peanut (declared); gluten (likely, high)",Flagged,unknown
Baohaus,Chairman Bao,"peanut (declared); gluten (likely, high)",Flagged,unknown
Baohaus,Birdhaus Bao,"peanut (declared); gluten (likely, high)",Flagged,unknown
Baohaus,Mumbo Bird Bao,"peanut (declared); gluten (likely, high)",Flagged,unknown
Baohaus,Mumbo Eggplant Bao,"peanut (declared); gluten (likely, high)",Flagged,unknown
Baohaus,Taiwanese Chicharron,"gluten (likely, medium)",Could modify,unknown
Baohaus,Silk Road Fritto Misto,"gluten (likely, high)",Flagged,unknown
Baohaus,Mumbo Fried Cauliflower,"gluten (likely, medium)",Could modify,unknown
Baohaus,Smoked & Pickled Slaw w/ 3 Peppers,none flagged,No allergens flagged,unknown
Baohaus,Green Tomato & Cucumber Summer Salad,none flagged,No allergens flagged,unknown
Baohaus,Junghwa (Korean-Chinese) Eggplant,"gluten (likely, medium)",Could modify,unknown
Baohaus,Taiwanese Prime Beef Noodle Soup,"gluten (likely, high)",Flagged,unknown
Baohaus,Creamy Fermented Chili Orecchiette All'Assassina,"gluten (likely, high)",Flagged,unknown
Baohaus,Whole Grilled Squid w/ Ink Lo Mein,"gluten (likely, high)",Flagged,unknown
Baohaus,Ma Po Gnocchi w/ Iberico Pork & Torched Mozzarella,"gluten (likely, high)",Flagged,unknown
Baohaus,Peanut Sesame Noodles w/ Chicken,"peanut (declared); gluten (likely, high)",Flagged,unknown
Baohaus,Linda's #1 Tuna T-Bone Steak,none flagged,Unknown,unknown
Baohaus,Freaked Out Chicken Thigh Parmesan,"gluten (likely, high)",Flagged,unknown
Baohaus,Happy Accident Mumbo Hake w/ Soy Bean Crisp,"gluten (likely, low)",Could modify,unknown
Baohaus,Hand Cut Prime Delmonico Steak w/ Beijing Peanut Chimichurri,peanut (declared),Flagged,unknown
Baohaus,"Wine (by glass/bottle, all listings)",none flagged,No allergens flagged,unknown
Baohaus,"Draught Beer (Guinness, Killsboro Chelita, Allagash White, Talea Sun Up Hazy IPA, Threes Gold Rice Lager, Downeast Cider, Lagunitas IPA)","gluten (likely, medium)",Could modify,unknown
Baohaus,"Bottles & Cans (Taiwan Gold Medal, Taiwan Mango/Lychee, Taihu Lemon Sawa, Miller High Life)","gluten (likely, medium)",Could modify,unknown
Baohaus,"Zero Proof (Hey Song Sasparilla, Wang Lao Ji Sweet Tea, Apple Sidra, Iced Tea or Lemonade, Coke/Diet Coke/Sprite)",none flagged,No allergens flagged,unknown
Baohaus,"Sangrias & Cocktails (Lychee White Wine, Watermelon Red Wine, Blood Orange Mimosa, Paper Lantern, Szex on the Beach, Lemon Spritz, John Daly, Glacier Freeze)",none flagged,No allergens flagged,unknown
Birria LES,Texas Garlic Toast - Birria,"gluten (likely, high)",Flagged,unknown
Birria LES,Loaded Nachos - Beef Birria,none flagged,No allergens flagged,unknown
Birria LES,Loaded Nachos - Chicken Birria,none flagged,No allergens flagged,unknown
Birria LES,Loaded Papa's Beef,none flagged,No allergens flagged,unknown
Birria LES,Consomé Con Dumplings - Beef Birria,"gluten (likely, high)",Flagged,unknown
Birria LES,Loaded Papa's - Surf & Turf,none flagged,No allergens flagged,unknown
Birria LES,Esquites,none flagged,No allergens flagged,unknown
Birria LES,Beef Taco with Cheese (1 Taco),none flagged,No allergens flagged,unknown
Birria LES,Chicken Taco (1 Taco),none flagged,No allergens flagged,unknown
Birria LES,Consomé,none flagged,No allergens flagged,unknown
Birria LES,Al Pastor Taco,none flagged,No allergens flagged,unknown
Birria LES,Loaded Nachos - Shrimp,none flagged,No allergens flagged,unknown
Birria LES,Beef Taco (1 Taco),none flagged,No allergens flagged,unknown
Birria LES,Empanada - Beef Birria,"gluten (likely, high)",Flagged,unknown
Birria LES,Shrimp Taco (1 Taco),none flagged,No allergens flagged,unknown
